id;setting_name;settings_id;settings_details;settings_field_1
1;auxiliary Specialist;80738;../fake-data/blob/hipster.txt;withdrawal
2;Concrete;20068;../fake-data/blob/hipster.txt;Gibraltar
3;interactive;96155;../fake-data/blob/hipster.txt;SCSI
4;Table;10658;../fake-data/blob/hipster.txt;Indiana
5;deposit Jewelery;91168;../fake-data/blob/hipster.txt;virtual Fantastic Customer-focused
6;turquoise Engineer;21004;../fake-data/blob/hipster.txt;microchip
7;navigating Director;37756;../fake-data/blob/hipster.txt;Agent synthesize Officer
8;engage Tasty Steel;43073;../fake-data/blob/hipster.txt;input Optimization
9;Soft Concrete;85333;../fake-data/blob/hipster.txt;Cotton Accountability Green
10;transmit Salad;1409;../fake-data/blob/hipster.txt;Program Legacy connecting
